HomeTeam,AwayTeam,B365H,B365D,B365A,BWH,BWD,BWA,WHH,WHD,WHA,VCH,VCD,VCA
Arsenal,West Brom,1.40,5.25,8.50,1.40,4.75,7.00,1.40,4.50,8.00,1.40,5.00,9.00
Aston Villa,Burnley,2.10,3.60,3.75,2.10,3.50,3.25,2.10,3.30,3.50,2.10,3.50,2.15
Chelsea,Sunderland,1.36,5.25,9.50,1.36,5.25,8.75,1.36,4.50,10.00,1.36,5.25,10.50
Crystal Palace,Swansea,2.25,3.60,3.30,2.20,3.20,3.30,2.25,3.20,3.20,2.20,3.60,3.40
Everton,Tottenham,2.37,3.60,3.10,2.35,3.40,2.85,2.40,3.10,3.10,2.30,3.70,3.13
Hull,Man United,3.20,3.75,2.25,3.20,3.60,2.20,3.20,3.30,2.25,3.25,3.60,2.25
Leicester,QPR,1.60,4.33,6.00,1.60,3.80,5.50,1.61,3.80,5.50,1.57,4.50,6.00
Man City,Southampton,1.57,4.50,6.00,1.55,4.00,5.75,1.57,3.80,6.00,1.57,4.60,5.75
Newcastle,West Ham,1.80,4.00,4.50,1.80,3.90,4.40,1.80,3.50,4.50,1.83,4.00,4.40
Stoke,Liverpool,3.50,3.60,2.15,3.25,3.40,2.15,3.30,3.30,2.20,3.50,3.60,2.25
